event,distance_Mpc,net_C,area_2d_90_deg2,area_4d_90_deg2,area_2d_50_deg2,area_4d_50_deg2
GW190425,40.0,0.4135,10182.63,9098.42,2805.71,478.55
GW190425,80.0,0.4280,10182.63,8523.60,2805.71,481.39
GW190425,100.0,0.4202,10182.63,8600.82,2805.71,793.71
GW190425,150.0,0.5134,10182.63,8166.69,2805.71,707.52
GW190425,200.0,0.3270,10182.63,9479.19,2805.71,1773.74
GW190425,400.0,0.2655,10182.63,10018.12,2805.71,2441.61
GW190425,700.0,0.0686,10182.63,10161.01,2805.71,2773.50
GW190425,1000.0,0.0185,10182.63,10180.11,2805.71,2802.51
S231206cc,40.0,0.2678,445.14,422.22,117.92,64.36
S231206cc,80.0,0.7760,445.14,195.08,117.92,2.57
S231206cc,100.0,0.5347,445.14,392.32,117.92,12.59
S231206cc,150.0,0.3350,445.14,424.42,117.92,65.41
S231206cc,200.0,0.3450,445.14,415.97,117.92,77.11
S231206cc,400.0,0.2620,445.14,436.75,117.92,104.60
S231206cc,700.0,0.0376,445.14,443.93,117.92,117.03
S231206cc,1000.0,0.0099,445.14,444.83,117.92,117.87
S240413p,40.0,0.7934,38.24,22.24,12.75,0.05
S240413p,80.0,0.5485,38.24,34.46,12.75,1.15
S240413p,100.0,0.8150,38.24,20.41,12.75,0.84
S240413p,150.0,0.8280,38.24,20.46,12.75,1.00
S240413p,200.0,0.5157,38.24,33.05,12.75,4.20
S240413p,400.0,0.3600,38.24,37.40,12.75,9.70
S240413p,700.0,0.0865,38.24,38.03,12.75,12.17
S240413p,1000.0,0.0241,38.24,38.24,12.75,12.75
GW190814,40.0,0.3291,37.72,36.14,7.45,3.36
GW190814,80.0,0.9099,37.72,2.36,7.45,0.37
GW190814,100.0,0.5947,37.72,33.68,7.45,0.73
GW190814,150.0,0.3634,37.72,34.36,7.45,5.14
GW190814,200.0,0.2117,37.72,37.19,7.45,6.82
GW190814,400.0,0.2198,37.72,37.14,7.45,7.45
GW190814,700.0,0.0648,37.72,37.51,7.45,7.45
GW190814,1000.0,0.0457,37.72,37.72,7.45,7.50
